Tecinca	Columna2	Nombre	Fecha Inicio	Fecha Fin	Alto	Largo
acrilico sobre lienzo	Vamos León!	¡Vamos León!	25/8/2024	20/9/2024	60	60
Mixta: óleo sobre collage y lienzo	Rosario Huerta	¡Vamos León! Rosario Huerta	22/9/2024	27/9/2024	60	45
acrilico sobre lienzo	14 & 47, Light Fragments	14 y 47, Fragmentos de luz	14/9/2024	1/10/2024	91	156
acrilico sobre lienzo	Malign	Maligno	6/9/2024	2/10/2024	25	20
acrilico sobre lienzo	Benign	Benigno	7/9/2024	2/10/2024	25	20
acrilico sobre lienzo	Is this cancer? 	¿Esto es cáncer?	20/9/2024	3/10/2024	30	30
Oleo sobre lienzo		hTecho hospital.  	11/9/2024	7/10/2024	25	20
Oleo sobre lienzo		Transformación de la consencia. 	10/10/2024	17/10/2024	50	50
acrilico sobre lienzo		Brotes de agradecimiento 	17/8/2024	7/11/2024	50	50
acrilico sobre lienzo	My Head Grows Lemons	Mi cabeza da limones	13/7/2024	14/11/2024	40	40
Oleo sobre lienzo	Post-Op Gaze	Mirada saliendo del quirófano.  	21/10/2024	15/11/2024	60	60
Mixta oleo y acrilico sobre lienzo	Bones on the Table	Huesos en la plancha	22/11/2024	25/11/2024	70	30
Oleo sobre lienzo	I don’t want cats in this house	No quiero gatos en esta casa	14/9/2024	4/12/2024	60	45
Mixta oleo y acrilico sobre lienzo		Danza irlandesa.  	10/11/2024	20/12/2024	70	45
Oleo sobre lienzo		Julieta	28/9/2024	24/12/2024	50	40
Mixta oleo y acrilico sobre lienzo	Little Promises	Pequeñas promesas	15/3/2024	9/1/2025	10	10
Oleo sobre lienzo	Hospital Geometry	Geometria hospitalaria	16/11/2024	15/1/2025	40	40
Oleo sobre lienzo	Toxic	Ojo toxico	14/12/2022	21/1/2025	30	30
Mixta oleo y acrilico sobre lienzo		Vertebral	4/1/2025	27/1/2025	40	85
acrilico sobre lienzo		Billete	17/10/2024	1/2/2025	86	200
acrilico sobre lienzo		Cruz del diagnostico	30/4/2024	3/2/2025	45	60
acrilico sobre lienzo		Ciudad Neon Primeros pasos	30/3/2024	18/3/2025	60	40
acrilico sobre lienzo	Basking in the Sun	Tomando el sol	12/6/2024	10/4/2025	70	90
acrilico sobre lienzo	Cranial Tomography	Tomografia craneal	19/2/2025	10/4/2025	50	50
Mixta oleo y acrilico sobre lienzo	Lights, Transsphenoidal Resection... and Rebirth	Luz quirofano	17/4/2025	23/4/2025	110	110
Oleo sobre lienzo		Rosario y Rodrigo	8/1/2025	24/4/2025	70	60
acrilico sobre lienzo	I dreamt I was a Tree	Soñé que era un árbol	1/3/2024	26/4/2025	30	45
Oleo sobre lienzo	Trip to the hospital	Traslado hospitalario	11/11/2024	26/4/2025	70	60
Mixta oleo y acrilico sobre lienzo	Searching for Foreign Bodies with Positrons	Buscando cuerpos extraños con positrones	18/2/2025	10/5/2025	80	45
acrilico sobre lienzo		New York.  	8/11/2024	28/5/2025	70	50
acrilico sobre lienzo	Neurovascular Matrix	Matrix Neurovascular	16/5/2025	28/5/2025	75	50
acrilico sobre lienzo	This isn’t Conjunctivitis	Esto no es conjuntivitis	24/2/2025	8/6/2025	120	150
acrilico sobre lienzo		Hospitalizacion	7/4/2025	28/6/2025	75	100
Mixta oleo y acrilico sobre lienzo		rituales	20/7/2025	26/7/2025	25	30
acrilico sobre lienzo		Atardecer en Dacca	3/12/2022	28/7/2025	70	50
acrilico sobre lienzo	Hypophyseal Blue: The Weight of My Humanity	Azul hipofisiario	11/7/2025	9/8/2025	60	85
acrilico sobre lienzo		Sustento Electrorgancio	7/2/2025	10/8/2025	90	40
Mixta oleo y acrilico sobre lienzo	University Dawn	Madrugada universitaria	22/7/2025	21/9/2025	40	60
Oleo sobre lienzo	Eternal Gesture	Gesto eterno	25/3/2025	28/9/2025	40	60
Oleo sobre lienzo		Insomnio	11/9/2025	10/10/2025	80	80
acrilico sobre lienzo	Make yourself at home	Siéntete como en casa	6/10/2025	14/10/2025	50	60
Mixta oleo y acrilico sobre lienzo	Dolores and the Four of Swords	Dolores y el Cuatro de Espadas	15/10/2025	24/10/2025	40	60
acrilico con polvo de marmol sobre lienzo	Lemon Jam That Looks Like Strawberry and Tastes Like Blood	Mermelada de limón que parece de fresa y sabe a sangre	13/7/2025	30/10/2025	40	40
Oleo sobre lienzo	Summer memories	Recuerdos de verano	23/8/2025	20/11/2025	30	30
acrilico sobre lienzo		Niki bebe	17/7/2025	27/11/2025	20	25
acrilico sobre lienzo		Farmacodependencia	3/10/2025	28/11/2025	40	50
Oleo sobre lienzo	Ground Odyssey	Odisea en tierra	28/10/2025	29/11/2025	50	50
Oleo sobre lienzo		Oxygeno	24/3/2025	14/1/2026	35	28
acrilico sobre lienzo		Cotizacion	13/8/2025	14/1/2026	180	180
acrilico sobre lienzo		Mascara Lucha	13/1/2026	16/1/2026	35	28
Mixta oleo y acrilico sobre lienzo		Caos	19/7/2025	19/1/2026	120	60
Oleo sobre lienzo	Dolores and Breakfast	Dolores y el desayuno	19/10/2024	1/2/2026	30	40
Imagen digital intervenida a partir de registros radiográficos, impresión sobre soporte translúcido y montaje en caja de luz		Árbol familiar	10/10/2025	7/2/2026	60	42
Oleo sobre lienzo		La Espina (Carta Rosa)	17/2/2026	19/2/2026	45	35
Mixta, oleo y hoja de oro		EKG	2/2/2026	20/2/2026	40	60
Oleo sobre lienzo		Ascenso y descenso	9/2/2026	23/2/2026	35	30
Oleo sobre lienzo	Awaiting Spring	Aguardando la primavera	30/11/2025	25/2/2026	50	50
Oleo sobre lienzo	Operating Ring	Craneo Ring	31/12/2025	25/2/2026	50	50
Oleo sobre lienzo		Corazon Neón	19/2/2026	25/2/2026	35	30
acrilico sobre lienzo		Cadera en eco	28/3/2026	28/3/2026	40	50
Oleo sobre lienzo		Pantalon ER	22/1/2026	17/04/2026	60	40
Oleo sobre lienzo	Hospital Exit	Salida Hospitalaria	2/5/2026	26/05/2026	45	60
Oleo sobre lienzo	Homecoming	Homecoming	22/5/2026	3/6/2026	40	30
Oleo sobre lienzo		charly	29/4/2025	13/06/2026	45	80
Oleo sobre lienzo		Retrato Fernanda	17/12/2025	13/06/2026	80	45
Oleo sobre lienzo		Retrato tito	19/3/2026	13/06/2026	45	80
Oleo sobre lienzo		rEtrato hilde	21/3/2026	13/06/2026	80	45
Oleo sobre lienzo		retrato Alma	2/4/2026	13/06/2026	45	80
Oleo sobre lienzo		Mañana me operan	13/12/2025	20/06/2026	68	120
Mixta oleo y acrilico sobre lienzo		Mi papá cargando la rampa. 	7/1/2024	17/7/2026	80	120
Oleo sobre lienzo		Venas mano	2/3/2026	17/7/2026	50	50
Mixta oleo y acrilico sobre lienzo		Celosía I: Entre dos casas	16/9/2026	18/9/2026	30	30
Mixta oleo y acrilico sobre lienzo		Celosía II: Entre dos casas	16/9/2026	19/9/2026	30	30
Mixta oleo y acrilico sobre lienzo		Celosía III: Entre dos casas	16/9/2026	20/9/2026	30	30
Mixta oleo y acrilico sobre lienzo		Celosía IV: Entre dos casas	16/9/2026	20/9/2026	30	30
acrilico sobre lienzo		Contra corriente	28/2/2024	Pendiente	40	40
acrilico sobre lienzo		Australia	30/3/2025	Pendiente	45	60
Impresión digital Fine Art sobre papel Hahnemühle Photo Rag 308 g/m² Intervenida con Grabado		Costo de estudiar	15/9/2025	Pendiente	96	112
Oleo sobre lienzo		Anochecer en Osaka	26/10/2025	Pendiente	70	50
